Date,BCE.TO,RCI.B.TO,TRI.TO,QBR.B.TO,TCL.A.TO,CCA.TO,T.TO
2017-06-27,-0.004568943,-0.008237113,-0.003913631,0.002339224,-0.007743017,-0.003282045,0.003320432
2017-06-28,0.000678248,0.006658212,-0.00310957,0.00535944,0.008968731,0.012939637,0.002207349
2017-06-29,-0.006803,-0.024147502,-0.009717534,-0.001627893,0.001551749,-0.0043784,-0.013765948
2017-06-30,-0.003418451,-0.008615988,-0.006309021,-0.000931915,-0.003883653,-0.007044942,0.000894162
2017-07-04,-0.000856609,-0.010668892,0.000333065,0.002327579,-0.001947443,0.002395882,-0.00447771
2017-07-05,0.003421598,0.005102655,-0.000666303,-0.002094533,-0.004689275,-0.00176428,0.002464999
2017-07-06,-0.003250307,0.003114148,-0.009878868,0.004648177,0.017472874,0.005535565,0.003797901
2017-07-07,-0.004121053,0.00065452,-0.006583759,0.00208472,-0.01825679,0.001253859,-0.003797901
2017-07-10,-0.002583991,0.005057701,-0.00390344,0.008523952,0.013627001,0.028292655,-0.000671248
2017-07-11,-0.001553841,-0.001139954,0.005088149,0.000229137,0,0.011626757,-0.002691368
2017-07-12,0.002243743,0.005685936,-0.007301206,0.004348822,-0.005428516,-0.013577613,0.005821739
2017-07-13,-0.004492255,-0.001783558,-0.007183025,-0.006414808,-0.00741457,-0.018850993,-0.007395149
2017-07-14,0.007074391,0.012899583,0.000514836,0.016412773,-0.002352991,0.040344261,0.005160046
2017-07-17,0.001546341,0.003677747,-0.000686456,-0.009313197,-0.004722493,0.012111328,0.000894529
2017-07-18,-0.002234388,0.004935883,-0.000515102,0.001824083,0.004722493,0.0310254,-0.003358975
2017-07-19,0.003092269,0.016539956,-0.007759293,-0.001367777,-0.006697291,-0.011970632,0.006707074
2017-07-20,0.00683769,0.013499709,-0.000172988,0.004324848,-0.005151051,0.015625121,0.007547343
2017-07-21,-0.002900272,0.015447369,-0.003294983,-0.007523369,0.010276581,0.00193627,0
2017-07-24,-0.00565409,0.002425361,-0.001564733,0.005021665,-0.002756526,-0.002163759,-0.003100679
2017-07-25,-0.000515525,-0.01540945,-0.005232903,-0.002964217,0.003935619,0.010372882,-0.001110105
2017-07-26,0.002060729,-0.004468913,0.000699386,-0.002057448,-0.001179093,-0.012897169,-0.002223115
2017-07-27,0.014307849,0.001851803,0.006792482,0.013185087,0.000786381,0.004355555,0.01194699
2017-07-28,-0.012251259,-0.007737785,-0.005744618,-0.007025508,-0.004726762,-0.002060858,-0.006177055
2017-07-31,0.001881402,0.007120892,-0.00314729,-0.017435855,0.003546877,-0.001720965,-0.003546821
2017-08-01,0.007829863,0.006304244,0.052369865,-0.006501084,-0.014662325,0.001147883,0.01564424
2017-08-02,0.007264265,-0.008156884,-0.007004842,0.005111725,-0.016908466,0.010381502,0.004145197
2017-08-03,-0.01100126,0.004163734,0.000334745,-0.004412857,-0.023414534,-0.019135771,-0.003926488
2017-08-04,0.00543118,-0.002774176,0.000836213,0.009498311,0.012391647,0.015041692,0.002183794
2017-08-08,0.004053834,0.002620374,-0.004356025,-0.001846175,0.019915575,0.025317833,0.001089239
2017-08-09,-0.004053834,-0.008501666,0.001677616,0.000923843,0.004817173,-0.019976165,-0.002836061
2017-08-10,-0.005261207,-0.003420981,-0.007402441,0.042251874,-0.004013061,0.01552168,-0.004818191
2017-08-11,-0.002896813,-0.002651418,-0.004569603,0.023396232,0.000804081,0.014734868,-0.016156293
2017-08-14,0.01018704,0.006848371,0.004569603,-0.000864705,0.00160561,0.012784855,0.011755854
2017-08-15,0.003204432,0.000465241,0.004345056,-0.001515435,-0.000400895,0.001302054,-0.001765917
2017-08-16,0.000336629,0.00602813,-0.008508152,0.01419711,0.005202871,-0.009478718,-0.007983815
2017-08-17,-0.004385967,-0.007269342,-0.004967845,0.003198441,-0.011240391,-0.003069803,-0.002675643
2017-08-18,-0.004914894,-0.002642351,-0.00949008,0.005732184,-0.023280642,-0.003960949,-0.006271192
2017-08-21,0.001867228,0.004348376,-0.002430134,0.005488484,-0.008298958,-0.002096771,0.00425975
2017-08-22,-0.001187828,-0.003726148,0.00502742,0.011720497,0.005816257,0.003419074,-0.004034875
2017-08-23,0.003051381,0.009443686,-0.002770868,-0.004279357,0.003721513,-0.00110178,0.003587194
2017-08-24,0.001353064,0.004151436,-0.003996028,-0.000418414,-0.00247945,0.000881297,0.00067123
2017-08-25,0.00270077,-0.007547072,-0.006112106,0.006050696,-0.009143735,-0.000109963,-0.002687381
2017-08-28,0.002357652,-0.002476854,-0.006678184,-0.011507316,-0.012182291,-0.000330744,0.00492167
2017-08-29,0.000672352,0.004021698,-0.001058552,-0.003795062,-0.000845723,0.011174867,0.003786718
